epoch=32 env_step=1290240 gradient_step=10080 train_rew=0.659778 train_len=25 n_ep=27 n_st=640 loss=0.000857 loss_clip=0.000242 loss_ent=0.511567 loss_vf=0.002252 test_reward=0.639000 test_reward_std=0.090038 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=33 env_step=1330560 gradient_step=10395 train_rew=0.657571 train_len=27 n_ep=28 n_st=640 loss=-0.001811 loss_clip=-0.002257 loss_ent=0.530361 loss_vf=0.001954 test_reward=0.640700 test_reward_std=0.060671 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=34 env_step=1370880 gradient_step=10710 train_rew=0.642545 train_len=24 n_ep=22 n_st=640 loss=0.002535 loss_clip=0.001895 loss_ent=0.615259 loss_vf=0.002511 test_reward=0.657300 test_reward_std=0.135190 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=35 env_step=1411200 gradient_step=11025 train_rew=0.680824 train_len=25 n_ep=17 n_st=640 loss=0.001714 loss_clip=0.000946 loss_ent=0.540124 loss_vf=0.002616 test_reward=0.670100 test_reward_std=0.049462 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=36 env_step=1451520 gradient_step=11340 train_rew=0.678750 train_len=28 n_ep=24 n_st=640 loss=0.002440 loss_clip=0.001738 loss_ent=0.490465 loss_vf=0.002386 test_reward=0.658700 test_reward_std=0.111963 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=37 env_step=1491840 gradient_step=11655 train_rew=0.656217 train_len=27 n_ep=23 n_st=640 loss=0.000824 loss_clip=0.000458 loss_ent=0.456067 loss_vf=0.001643 test_reward=0.686900 test_reward_std=0.083070 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=38 env_step=1532160 gradient_step=11970 train_rew=0.679292 train_len=28 n_ep=24 n_st=640 loss=-0.000261 loss_clip=-0.001055 loss_ent=0.449142 loss_vf=0.002486 test_reward=0.693600 test_reward_std=0.056948 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=39 env_step=1572480 gradient_step=12285 train_rew=0.695810 train_len=28 n_ep=21 n_st=640 loss=-0.001127 loss_clip=-0.001678 loss_ent=0.503889 loss_vf=0.002110 test_reward=0.694500 test_reward_std=0.072581 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=40 env_step=1612800 gradient_step=12600 train_rew=0.643962 train_len=25 n_ep=26 n_st=640 loss=0.003123 loss_clip=0.002458 loss_ent=0.445445 loss_vf=0.002220 test_reward=0.696300 test_reward_std=0.073953 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=41 env_step=1653120 gradient_step=12915 train_rew=0.667857 train_len=25 n_ep=28 n_st=640 loss=0.001311 loss_clip=0.000626 loss_ent=0.502825 loss_vf=0.002377 test_reward=0.695900 test_reward_std=0.055933 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=42 env_step=1693440 gradient_step=13230 train_rew=0.623120 train_len=24 n_ep=25 n_st=640 loss=0.000618 loss_clip=-0.001974 loss_ent=0.488583 loss_vf=0.006160 test_reward=0.669000 test_reward_std=0.097441 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=43 env_step=1733760 gradient_step=13545 train_rew=0.665828 train_len=26 n_ep=29 n_st=640 loss=-0.000859 loss_clip=-0.001297 loss_ent=0.386779 loss_vf=0.001649 test_reward=0.658100 test_reward_std=0.111553 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=44 env_step=1774080 gradient_step=13860 train_rew=0.640182 train_len=26 n_ep=33 n_st=640 loss=0.003010 loss_clip=0.002602 loss_ent=0.471717 loss_vf=0.001758 test_reward=0.712100 test_reward_std=0.062385 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=45 env_step=1814400 gradient_step=14175 train_rew=0.634214 train_len=26 n_ep=14 n_st=640 loss=0.000167 loss_clip=-0.000338 loss_ent=0.450725 loss_vf=0.001911 test_reward=0.641000 test_reward_std=0.075461 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=46 env_step=1854720 gradient_step=14490 train_rew=0.655818 train_len=24 n_ep=22 n_st=640 loss=0.003374 loss_clip=0.002615 loss_ent=0.431574 loss_vf=0.002382 test_reward=0.677600 test_reward_std=0.052427 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=47 env_step=1895040 gradient_step=14805 train_rew=0.660462 train_len=26 n_ep=26 n_st=640 loss=0.001055 loss_clip=0.000368 loss_ent=0.504648 loss_vf=0.002383 test_reward=0.699000 test_reward_std=0.087029 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=48 env_step=1935360 gradient_step=15120 train_rew=0.677769 train_len=27 n_ep=26 n_st=640 loss=0.001989 loss_clip=0.001420 loss_ent=0.566013 loss_vf=0.002271 test_reward=0.687200 test_reward_std=0.086501 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=49 env_step=1975680 gradient_step=15435 train_rew=0.669750 train_len=26 n_ep=20 n_st=640 loss=0.001619 loss_clip=0.001136 loss_ent=0.520607 loss_vf=0.002008 test_reward=0.681100 test_reward_std=0.070734 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=50 env_step=2016000 gradient_step=15750 train_rew=0.669368 train_len=26 n_ep=19 n_st=640 loss=0.001658 loss_clip=0.000800 loss_ent=0.512009 loss_vf=0.002742 test_reward=0.630400 test_reward_std=0.098439 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=51 env_step=2056320 gradient_step=16065 train_rew=0.659600 train_len=25 n_ep=25 n_st=640 loss=0.003177 loss_clip=0.002507 loss_ent=0.503975 loss_vf=0.002348 test_reward=0.587000 test_reward_std=0.075546 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=52 env_step=2096640 gradient_step=16380 train_rew=0.648000 train_len=26 n_ep=28 n_st=640 loss=-0.000069 loss_clip=-0.000257 loss_ent=0.509471 loss_vf=0.001395 test_reward=0.642900 test_reward_std=0.083942 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=53 env_step=2136960 gradient_step=16695 train_rew=0.674533 train_len=25 n_ep=30 n_st=640 loss=-0.000006 loss_clip=-0.000297 loss_ent=0.491119 loss_vf=0.001565 test_reward=0.677900 test_reward_std=0.064987 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=54 env_step=2177280 gradient_step=17010 train_rew=0.629519 train_len=25 n_ep=27 n_st=640 loss=0.000604 loss_clip=0.000129 loss_ent=0.507063 loss_vf=0.001964 test_reward=0.653500 test_reward_std=0.078490 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=55 env_step=2217600 gradient_step=17325 train_rew=0.677400 train_len=27 n_ep=15 n_st=640 loss=-0.001477 loss_clip=-0.001867 loss_ent=0.538636 loss_vf=0.001858 test_reward=0.674200 test_reward_std=0.107317 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=56 env_step=2257920 gradient_step=17640 train_rew=0.675643 train_len=26 n_ep=28 n_st=640 loss=0.004104 loss_clip=0.003577 loss_ent=0.496328 loss_vf=0.002046 test_reward=0.713300 test_reward_std=0.052923 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=57 env_step=2298240 gradient_step=17955 train_rew=0.665550 train_len=26 n_ep=20 n_st=640 loss=0.000007 loss_clip=-0.002820 loss_ent=0.612087 loss_vf=0.006877 test_reward=0.659500 test_reward_std=0.121232 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=58 env_step=2338560 gradient_step=18270 train_rew=0.658750 train_len=26 n_ep=24 n_st=640 loss=-0.000478 loss_clip=-0.001356 loss_ent=0.668008 loss_vf=0.003092 test_reward=0.695000 test_reward_std=0.082465 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=59 env_step=2378880 gradient_step=18585 train_rew=0.669842 train_len=25 n_ep=19 n_st=640 loss=-0.002771 loss_clip=-0.002646 loss_ent=0.824219 loss_vf=0.001398 test_reward=0.647500 test_reward_std=0.121807 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=60 env_step=2419200 gradient_step=18900 train_rew=0.652050 train_len=27 n_ep=20 n_st=640 loss=0.002179 loss_clip=0.002034 loss_ent=0.594419 loss_vf=0.001478 test_reward=0.656600 test_reward_std=0.067740 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=61 env_step=2459520 gradient_step=19215 train_rew=0.653360 train_len=26 n_ep=25 n_st=640 loss=0.003205 loss_clip=0.002878 loss_ent=0.730291 loss_vf=0.002115 test_reward=0.687200 test_reward_std=0.081434 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=62 env_step=2499840 gradient_step=19530 train_rew=0.670864 train_len=26 n_ep=22 n_st=640 loss=0.003942 loss_clip=0.003783 loss_ent=0.658115 loss_vf=0.001634 test_reward=0.694400 test_reward_std=0.070368 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=63 env_step=2540160 gradient_step=19845 train_rew=0.641227 train_len=26 n_ep=22 n_st=640 loss=0.000233 loss_clip=0.000079 loss_ent=0.582289 loss_vf=0.001474 test_reward=0.669000 test_reward_std=0.035587 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=64 env_step=2580480 gradient_step=20160 train_rew=0.642750 train_len=24 n_ep=20 n_st=640 loss=-0.004601 loss_clip=-0.005009 loss_ent=0.488546 loss_vf=0.001794 test_reward=0.690100 test_reward_std=0.100348 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=65 env_step=2620800 gradient_step=20475 train_rew=0.655960 train_len=26 n_ep=25 n_st=640 loss=-0.002288 loss_clip=-0.002541 loss_ent=0.510135 loss_vf=0.001526 test_reward=0.668200 test_reward_std=0.097375 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
