epoch=31 env_step=62000 gradient_step=3875 train_rew=-0.429305 train_len=16 n_ep=1 n_st=16 loss=0.005532 loss_clip=0.002456 loss_ent=1.017207 loss_vf=0.008186 test_reward=-0.641578 test_reward_std=0.125182 best_reward=-0.335398 best_reward_std=0.170697 best_epoch=28
epoch=32 env_step=64000 gradient_step=4000 train_rew=-0.600193 train_len=23 n_ep=1 n_st=16 loss=0.003402 loss_clip=0.001243 loss_ent=1.101980 loss_vf=0.006522 test_reward=-0.325641 test_reward_std=0.131665 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=33 env_step=66000 gradient_step=4125 train_rew=-0.268957 train_len=23 n_ep=2 n_st=16 loss=0.001925 loss_clip=0.000010 loss_ent=1.067735 loss_vf=0.005966 test_reward=-0.510844 test_reward_std=0.242663 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=34 env_step=68000 gradient_step=4250 train_rew=-0.490790 train_len=26 n_ep=0 n_st=16 loss=0.009977 loss_clip=0.001685 loss_ent=1.009358 loss_vf=0.018602 test_reward=-0.568597 test_reward_std=0.232981 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=35 env_step=70000 gradient_step=4375 train_rew=-0.507698 train_len=26 n_ep=0 n_st=16 loss=0.008093 loss_clip=0.001775 loss_ent=1.094778 loss_vf=0.014826 test_reward=-0.385555 test_reward_std=0.178868 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=36 env_step=72000 gradient_step=4500 train_rew=-0.006170 train_len=25 n_ep=1 n_st=16 loss=0.004807 loss_clip=-0.000068 loss_ent=1.123167 loss_vf=0.011997 test_reward=-0.411898 test_reward_std=0.278765 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=37 env_step=74000 gradient_step=4625 train_rew=-0.206503 train_len=12 n_ep=1 n_st=16 loss=0.005208 loss_clip=-0.001360 loss_ent=1.147739 loss_vf=0.015433 test_reward=-0.413657 test_reward_std=0.301431 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=38 env_step=76000 gradient_step=4750 train_rew=-0.277793 train_len=22 n_ep=0 n_st=16 loss=0.001572 loss_clip=-0.000004 loss_ent=1.177852 loss_vf=0.005508 test_reward=-0.433608 test_reward_std=0.216234 best_reward=-0.325641 best_reward_std=0.131665 best_epoch=32
epoch=39 env_step=78000 gradient_step=4875 train_rew=-0.487421 train_len=20 n_ep=0 n_st=16 loss=0.002676 loss_clip=0.000941 loss_ent=1.431127 loss_vf=0.006332 test_reward=-0.312892 test_reward_std=0.215060 best_reward=-0.312892 best_reward_std=0.215060 best_epoch=39
epoch=40 env_step=80000 gradient_step=5000 train_rew=-0.418314 train_len=17 n_ep=0 n_st=16 loss=0.004679 loss_clip=0.001303 loss_ent=1.462868 loss_vf=0.009679 test_reward=-0.352370 test_reward_std=0.162994 best_reward=-0.312892 best_reward_std=0.215060 best_epoch=39
epoch=41 env_step=82000 gradient_step=5125 train_rew=-0.197704 train_len=14 n_ep=0 n_st=16 loss=0.004286 loss_clip=0.001417 loss_ent=1.503030 loss_vf=0.008746 test_reward=-0.386031 test_reward_std=0.133185 best_reward=-0.312892 best_reward_std=0.215060 best_epoch=39
epoch=42 env_step=84000 gradient_step=5250 train_rew=-0.570519 train_len=29 n_ep=0 n_st=16 loss=0.057862 loss_clip=-0.000042 loss_ent=1.419802 loss_vf=0.118649 test_reward=-0.316054 test_reward_std=0.120074 best_reward=-0.312892 best_reward_std=0.215060 best_epoch=39
epoch=43 env_step=86000 gradient_step=5375 train_rew=-0.353492 train_len=31 n_ep=1 n_st=16 loss=0.032940 loss_clip=-0.003122 loss_ent=1.624656 loss_vf=0.075372 test_reward=-0.354303 test_reward_std=0.129678 best_reward=-0.312892 best_reward_std=0.215060 best_epoch=39
epoch=44 env_step=88000 gradient_step=5500 train_rew=-0.536109 train_len=20 n_ep=0 n_st=16 loss=0.010895 loss_clip=0.000943 loss_ent=1.597732 loss_vf=0.023100 test_reward=-0.415717 test_reward_std=0.205648 best_reward=-0.312892 best_reward_std=0.215060 best_epoch=39
epoch=45 env_step=90000 gradient_step=5625 train_rew=-0.307125 train_len=10 n_ep=2 n_st=16 loss=0.010958 loss_clip=0.001030 loss_ent=1.390553 loss_vf=0.022638 test_reward=-0.258439 test_reward_std=0.154257 best_reward=-0.258439 best_reward_std=0.154257 best_epoch=45
epoch=46 env_step=92000 gradient_step=5750 train_rew=-0.279640 train_len=18 n_ep=1 n_st=16 loss=-0.000692 loss_clip=-0.001806 loss_ent=1.396425 loss_vf=0.005019 test_reward=-0.355118 test_reward_std=0.179611 best_reward=-0.258439 best_reward_std=0.154257 best_epoch=45
epoch=47 env_step=94000 gradient_step=5875 train_rew=-0.241373 train_len=23 n_ep=0 n_st=16 loss=0.001598 loss_clip=-0.000041 loss_ent=1.533719 loss_vf=0.006346 test_reward=-0.257980 test_reward_std=0.178275 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=48 env_step=96000 gradient_step=6000 train_rew=-0.545033 train_len=26 n_ep=1 n_st=16 loss=0.006005 loss_clip=0.001963 loss_ent=1.619583 loss_vf=0.011323 test_reward=-0.332265 test_reward_std=0.320793 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=49 env_step=98000 gradient_step=6125 train_rew=-0.535174 train_len=23 n_ep=0 n_st=16 loss=0.005563 loss_clip=0.001522 loss_ent=1.544827 loss_vf=0.011173 test_reward=-0.332837 test_reward_std=0.277414 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=50 env_step=100000 gradient_step=6250 train_rew=-0.133413 train_len=17 n_ep=2 n_st=16 loss=0.000470 loss_clip=-0.000219 loss_ent=1.505543 loss_vf=0.004389 test_reward=-0.404649 test_reward_std=0.163613 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=51 env_step=102000 gradient_step=6375 train_rew=0.054413 train_len=19 n_ep=1 n_st=16 loss=0.011356 loss_clip=0.001445 loss_ent=1.427458 loss_vf=0.022676 test_reward=-0.422553 test_reward_std=0.189738 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=52 env_step=104000 gradient_step=6500 train_rew=-0.167747 train_len=22 n_ep=1 n_st=16 loss=0.002545 loss_clip=-0.000054 loss_ent=1.295657 loss_vf=0.007790 test_reward=-0.405150 test_reward_std=0.116574 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=53 env_step=106000 gradient_step=6625 train_rew=-0.359990 train_len=20 n_ep=0 n_st=16 loss=0.001893 loss_clip=-0.000433 loss_ent=1.360544 loss_vf=0.007374 test_reward=-0.273616 test_reward_std=0.221436 best_reward=-0.257980 best_reward_std=0.178275 best_epoch=47
epoch=54 env_step=108000 gradient_step=6750 train_rew=-0.544124 train_len=21 n_ep=1 n_st=16 loss=0.015767 loss_clip=-0.001240 loss_ent=1.464988 loss_vf=0.036944 test_reward=-0.241928 test_reward_std=0.160018 best_reward=-0.241928 best_reward_std=0.160018 best_epoch=54
epoch=55 env_step=110000 gradient_step=6875 train_rew=-0.280308 train_len=21 n_ep=0 n_st=16 loss=0.001735 loss_clip=-0.001643 loss_ent=1.387494 loss_vf=0.009531 test_reward=-0.338254 test_reward_std=0.207942 best_reward=-0.241928 best_reward_std=0.160018 best_epoch=54
epoch=56 env_step=112000 gradient_step=7000 train_rew=-0.409376 train_len=15 n_ep=0 n_st=16 loss=0.001992 loss_clip=0.000993 loss_ent=1.333170 loss_vf=0.004664 test_reward=-0.260787 test_reward_std=0.176150 best_reward=-0.241928 best_reward_std=0.160018 best_epoch=54
