epoch=49 env_step=98000 gradient_step=6125 train_rew=0.552000 train_len=29 n_ep=1 n_st=16 loss=0.002845 loss_clip=0.000276 loss_ent=0.556570 loss_vf=0.006251 test_reward=0.596100 test_reward_std=0.133834 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=50 env_step=100000 gradient_step=6250 train_rew=0.762000 train_len=34 n_ep=1 n_st=16 loss=0.001767 loss_clip=-0.001271 loss_ent=0.544693 loss_vf=0.007166 test_reward=0.648300 test_reward_std=0.132350 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=51 env_step=102000 gradient_step=6375 train_rew=0.689000 train_len=19 n_ep=1 n_st=16 loss=0.004871 loss_clip=0.001153 loss_ent=0.770875 loss_vf=0.008979 test_reward=0.581100 test_reward_std=0.154825 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=52 env_step=104000 gradient_step=6500 train_rew=0.699000 train_len=30 n_ep=0 n_st=16 loss=0.001640 loss_clip=-0.000308 loss_ent=0.672133 loss_vf=0.005241 test_reward=0.647500 test_reward_std=0.059154 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=53 env_step=106000 gradient_step=6625 train_rew=0.530000 train_len=35 n_ep=0 n_st=16 loss=0.003317 loss_clip=0.000359 loss_ent=0.607834 loss_vf=0.007132 test_reward=0.604700 test_reward_std=0.111090 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=54 env_step=108000 gradient_step=6750 train_rew=0.618000 train_len=26 n_ep=0 n_st=16 loss=0.003595 loss_clip=0.001343 loss_ent=0.656674 loss_vf=0.005818 test_reward=0.587900 test_reward_std=0.087540 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=55 env_step=110000 gradient_step=6875 train_rew=0.727000 train_len=28 n_ep=1 n_st=16 loss=0.001766 loss_clip=0.000546 loss_ent=0.695392 loss_vf=0.003831 test_reward=0.644700 test_reward_std=0.064571 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=56 env_step=112000 gradient_step=7000 train_rew=0.698500 train_len=30 n_ep=2 n_st=16 loss=0.003202 loss_clip=0.001094 loss_ent=0.682374 loss_vf=0.005580 test_reward=0.630500 test_reward_std=0.093380 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=57 env_step=114000 gradient_step=7125 train_rew=0.695000 train_len=29 n_ep=1 n_st=16 loss=0.003459 loss_clip=0.000996 loss_ent=0.603294 loss_vf=0.006131 test_reward=0.576700 test_reward_std=0.125905 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=58 env_step=116000 gradient_step=7250 train_rew=0.617000 train_len=23 n_ep=0 n_st=16 loss=0.002496 loss_clip=-0.000486 loss_ent=0.701381 loss_vf=0.007366 test_reward=0.645200 test_reward_std=0.107063 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=59 env_step=118000 gradient_step=7375 train_rew=0.615500 train_len=29 n_ep=0 n_st=16 loss=0.003458 loss_clip=0.000322 loss_ent=0.779988 loss_vf=0.007831 test_reward=0.556200 test_reward_std=0.129178 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=60 env_step=120000 gradient_step=7500 train_rew=0.599000 train_len=19 n_ep=1 n_st=16 loss=0.002451 loss_clip=0.000061 loss_ent=0.867140 loss_vf=0.006515 test_reward=0.682400 test_reward_std=0.077899 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
