epoch=41 env_step=1653120 gradient_step=12915 train_rew=-0.176557 train_len=15 n_ep=51 n_st=640 loss=-0.000797 loss_clip=-0.003245 loss_ent=0.422640 loss_vf=0.005740 test_reward=-0.134181 test_reward_std=0.130406 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=42 env_step=1693440 gradient_step=13230 train_rew=-0.170909 train_len=16 n_ep=48 n_st=640 loss=0.006366 loss_clip=0.005203 loss_ent=0.476688 loss_vf=0.003279 test_reward=-0.197942 test_reward_std=0.186869 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=43 env_step=1733760 gradient_step=13545 train_rew=-0.149777 train_len=15 n_ep=38 n_st=640 loss=-0.002211 loss_clip=-0.003400 loss_ent=0.434182 loss_vf=0.003247 test_reward=-0.161167 test_reward_std=0.150108 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=44 env_step=1774080 gradient_step=13860 train_rew=-0.116662 train_len=16 n_ep=47 n_st=640 loss=0.000656 loss_clip=-0.000650 loss_ent=0.444629 loss_vf=0.003502 test_reward=-0.208178 test_reward_std=0.167715 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=45 env_step=1814400 gradient_step=14175 train_rew=-0.150994 train_len=15 n_ep=39 n_st=640 loss=0.001990 loss_clip=0.001003 loss_ent=0.391024 loss_vf=0.002756 test_reward=-0.104664 test_reward_std=0.123196 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=46 env_step=1854720 gradient_step=14490 train_rew=-0.181153 train_len=15 n_ep=50 n_st=640 loss=0.001313 loss_clip=0.000212 loss_ent=0.393859 loss_vf=0.002990 test_reward=-0.301117 test_reward_std=0.130453 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=47 env_step=1895040 gradient_step=14805 train_rew=-0.160863 train_len=15 n_ep=45 n_st=640 loss=-0.000247 loss_clip=-0.001367 loss_ent=0.397592 loss_vf=0.003036 test_reward=-0.080590 test_reward_std=0.155988 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=48 env_step=1935360 gradient_step=15120 train_rew=-0.141998 train_len=14 n_ep=38 n_st=640 loss=0.000949 loss_clip=-0.000324 loss_ent=0.359986 loss_vf=0.003267 test_reward=-0.130932 test_reward_std=0.135733 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=49 env_step=1975680 gradient_step=15435 train_rew=-0.122895 train_len=15 n_ep=37 n_st=640 loss=0.000944 loss_clip=-0.000322 loss_ent=0.365186 loss_vf=0.003262 test_reward=-0.171845 test_reward_std=0.182347 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=50 env_step=2016000 gradient_step=15750 train_rew=-0.172857 train_len=14 n_ep=47 n_st=640 loss=0.001121 loss_clip=0.000217 loss_ent=0.414705 loss_vf=0.002636 test_reward=-0.170357 test_reward_std=0.097117 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=51 env_step=2056320 gradient_step=16065 train_rew=-0.138440 train_len=16 n_ep=33 n_st=640 loss=0.001198 loss_clip=0.000320 loss_ent=0.452733 loss_vf=0.002662 test_reward=-0.242221 test_reward_std=0.144672 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=52 env_step=2096640 gradient_step=16380 train_rew=-0.140862 train_len=13 n_ep=41 n_st=640 loss=0.001719 loss_clip=0.000827 loss_ent=0.390550 loss_vf=0.002566 test_reward=-0.224418 test_reward_std=0.173622 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=53 env_step=2136960 gradient_step=16695 train_rew=-0.176609 train_len=14 n_ep=44 n_st=640 loss=-0.000010 loss_clip=-0.000970 loss_ent=0.389289 loss_vf=0.002698 test_reward=-0.117805 test_reward_std=0.137175 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=54 env_step=2177280 gradient_step=17010 train_rew=-0.173944 train_len=14 n_ep=41 n_st=640 loss=0.003330 loss_clip=0.002042 loss_ent=0.381974 loss_vf=0.003339 test_reward=-0.199219 test_reward_std=0.098234 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=55 env_step=2217600 gradient_step=17325 train_rew=-0.172079 train_len=15 n_ep=43 n_st=640 loss=0.000050 loss_clip=-0.001135 loss_ent=0.417817 loss_vf=0.003206 test_reward=-0.121864 test_reward_std=0.164071 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=56 env_step=2257920 gradient_step=17640 train_rew=-0.161794 train_len=15 n_ep=36 n_st=640 loss=0.001063 loss_clip=-0.000198 loss_ent=0.434955 loss_vf=0.003393 test_reward=-0.176175 test_reward_std=0.134152 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
